 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 647.036    8.98750e-02    9.01261e-02   -2.51090e-04
 647.862    8.87616e-02    8.96616e-02   -8.99953e-04
 648.688    8.83934e-02    8.94627e-02   -1.06930e-03
 649.514    8.82629e-02    8.94648e-02   -1.20188e-03
 650.340    9.05021e-02    8.97626e-02    7.39465e-04
 651.166    9.02261e-02    9.03000e-02   -7.39168e-05
 651.992    9.12762e-02    9.07753e-02    5.00939e-04
 652.818    9.13397e-02    9.07795e-02    5.60153e-04
 653.644    8.95996e-02    8.98141e-02   -2.14514e-04
 654.470    8.75085e-02    8.76129e-02   -1.04391e-04
 655.296    8.49255e-02    8.48584e-02    6.70818e-05
 656.122    8.33844e-02    8.31768e-02    2.07578e-04
 656.948    8.41425e-02    8.37543e-02    3.88202e-04
 657.774    8.53210e-02    8.60957e-02   -7.74722e-04
 658.599    8.82982e-02    8.86862e-02   -3.87970e-04
 659.425    9.06743e-02    9.05621e-02    1.12233e-04
 660.251    9.12007e-02    9.17187e-02   -5.17990e-04
 661.077    9.27522e-02    9.24294e-02    3.22757e-04
 661.903    9.27441e-02    9.27646e-02   -2.05228e-05
 662.728    9.24996e-02    9.27136e-02   -2.13999e-04
 663.554    9.21748e-02    9.24407e-02   -2.65922e-04
 664.380    9.19095e-02    9.22166e-02   -3.07094e-04
 665.206    9.19923e-02    9.21458e-02   -1.53497e-04
 666.031    9.22317e-02    9.21280e-02    1.03687e-04
 666.857    9.20793e-02    9.21038e-02   -2.45189e-05
 667.683    9.25368e-02    9.21396e-02    3.97224e-04
 668.508    9.25306e-02    9.22157e-02    3.14946e-04
 669.334    9.24153e-02    9.21619e-02    2.53447e-04
 670.159    9.18754e-02    9.18940e-02   -1.85911e-05
 670.985    9.18385e-02    9.15480e-02    2.90522e-04
 671.811    9.10059e-02    9.13149e-02   -3.08963e-04
 672.636    9.13772e-02    9.12357e-02    1.41489e-04
 673.462    9.15204e-02    9.12061e-02    3.14259e-04
 674.287    9.09631e-02    9.11422e-02   -1.79078e-04
 675.113    9.09202e-02    9.10631e-02   -1.42947e-04
 675.938    9.08130e-02    9.09963e-02   -1.83276e-04
 676.763    9.06353e-02    9.09159e-02   -2.80625e-04
 677.589    9.08438e-02    9.07755e-02    6.83466e-05
 678.414    9.04485e-02    9.05262e-02   -7.77222e-05
 679.239    9.00722e-02    9.01735e-02   -1.01329e-04
 680.065    9.01424e-02    8.98171e-02    3.25257e-04
 680.890    8.95659e-02    8.95512e-02    1.46740e-05
 681.715    8.94782e-02    8.93614e-02    1.16796e-04
 682.541    8.90791e-02    8.91358e-02   -5.67015e-05
 683.366    8.91867e-02    8.87084e-02    4.78255e-04
 684.191    8.76031e-02    8.78195e-02   -2.16417e-04
 685.016    8.62772e-02    8.61108e-02    1.66393e-04
 685.841    8.34095e-02    8.35000e-02   -9.05155e-05
 686.666    8.06024e-02    8.06480e-02   -4.55888e-05
 687.491    7.86520e-02    7.86052e-02    4.67953e-05
 688.316    7.79676e-02    7.78765e-02    9.11433e-05
 689.141    7.83612e-02    7.81986e-02    1.62564e-04
 689.966    7.91624e-02    7.90314e-02    1.31027e-04
 690.791    7.99117e-02    7.98467e-02    6.50094e-05
 691.616    8.02133e-02    8.02137e-02   -3.77758e-07
 692.441    8.00907e-02    7.99935e-02    9.72099e-05
